GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "25000","Massachusetts",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",4075959,4021589,3991991,4028638,4071326,4110415,4202942,4215669,4115997,4115539,4175311,4253327,4353568,4447626,4631324,4709778,4788192,4872851
 "25000","Massachusetts",1,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",3455268,3386304,3327200,3316178,3328633,3358714,3401308,3406484,3292543,3300874,3338324,3420747,3474851,3540699,3610286,3674576,3724421,3769709
 "25000","Massachusetts",1,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",620691,635285,664791,712460,742693,751701,801634,809185,823454,814665,836987,832580,878717,906927,1021038,1035202,1063771,1103142
 "25000","Massachusetts",1,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",5784,5742,5539,5390,5359,5235,6547,6519,6487,6511,6519,6496,6620,6453,6427,6242,6160,6158
 "25000","Massachusetts",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",614907,629543,659252,707070,737334,746466,795087,802666,816967,808154,830468,826084,872097,900474,1014611,1028960,1057611,1096984
 "25000","Massachusetts",1,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",10704,10594,10512,9512,9356,8890,10087,10377,10213,10187,10538,10929,11686,11539,11494,10971,10471,10368
 "25000","Massachusetts",1,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",4065255,4010995,3981479,4019126,4061970,4101525,4192855,4205292,4105784,4105352,4164773,4242398,4341882,4436087,4619830,4698807,4777721,4862483
 "25000","Massachusetts",1,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",3607314,3553398,3535172,3582886,3624299,3659048,3744339,3751887,3653604,3650838,3714000,3789178,3886146,3974652,4159267,4234980,4314588,4397975
 "25000","Massachusetts",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",10611,12101,10661,11382,11310,11079,10959,11074,10724,10904,9550,9848,9830,9885,9955,10328,10137,10231
 "25000","Massachusetts",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",2490,2378,2798,2756,2840,2861,2828,3008,2943,3285,2791,3428,3583,3407,3803,3748,3315,3219
 "25000","Massachusetts",1,CAEMP25N,300,"22","   Utilities","Number of jobs",12332,11290,10957,10489,10081,10204,10529,10870,10829,11069,10952,10902,10909,11692,12216,13420,12781,12363
 "25000","Massachusetts",1,CAEMP25N,400,"23","   Construction","Number of jobs",217577,215748,218923,228299,236312,238773,235328,225887,200883,192139,195903,201784,213264,220623,236422,248872,250222,259699
 "25000","Massachusetts",1,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",399034,359935,333712,322372,315674,309679,306819,297562,271450,265144,265566,263666,263948,263383,263615,260850,259648,260513
 "25000","Massachusetts",1,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",150825,145203,144453,147130,145709,148700,149463,147363,138545,133608,134634,132396,134847,140703,143158,137699,139232,137829
 "25000","Massachusetts",1,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",410274,410226,409704,411738,412938,408029,408330,403325,390241,391694,396776,397266,401036,404336,414929,415323,429385,428369
 "25000","Massachusetts",1,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",100152,95194,94185,93236,93337,93821,97283,96064,91768,92628,94738,97544,102504,114183,137638,153201,178271,199875
 "25000","Massachusetts",1,CAEMP25N,900,"51","   Information","Number of jobs",122416,109471,102260,98938,100167,99824,101126,103263,97485,97857,97422,99566,99398,100020,103057,104597,107129,107889
 "25000","Massachusetts",1,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",231865,230558,225847,222536,229267,231344,245850,256133,265482,257885,271356,267614,270908,264320,273767,282840,281227,283690
 "25000","Massachusetts",1,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",122610,125958,134125,144861,155489,155738,162505,160946,160727,166621,173879,172862,179178,186722,195645,200471,207571,214159
 "25000","Massachusetts",1,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",359279,344990,341859,356803,361755,371918,389427,399752,390653,388270,393724,401192,415556,426312,457367,462632,472622,487312
