GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "23000","Maine",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",787577,790609,794507,807625,809353,817622,828212,823517,800501,791331,794389,796903,803641,810868,816598,826651,836117,848459
 "23000","Maine",1,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",627326,626306,627164,632278,627819,632651,635466,635038,612929,607945,608840,611800,615236,619261,624862,632443,638271,645573
 "23000","Maine",1,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",160251,164303,167343,175347,181534,184971,192746,188479,187572,183386,185549,185103,188405,191607,191736,194208,197846,202886
 "23000","Maine",1,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",7038,7099,6909,6731,6619,6472,7348,7309,7315,7381,7519,7450,7545,7364,7192,7085,6972,6969
 "23000","Maine",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",153213,157204,160434,168616,174915,178499,185398,181170,180257,176005,178030,177653,180860,184243,184544,187123,190874,195917
 "23000","Maine",1,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",10901,10931,10811,9945,9715,9284,10052,10255,10162,10189,10590,11082,11695,11530,11343,10960,10625,10536
 "23000","Maine",1,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",776676,779678,783696,797680,799638,808338,818160,813262,790339,781142,783799,785821,791946,799338,805255,815691,825492,837923
 "23000","Maine",1,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",667290,668637,671478,685283,687763,695766,705334,700338,678739,670309,675067,677687,684963,692669,699086,708442,718177,730339
 "23000","Maine",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",15813,17030,14369,15685,16057,15885,15460,(D),(D),14102,13967,(D),15298,15434,14805,15053,14345,14469
 "23000","Maine",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",516,420,491,493,483,504,723,(D),(D),824,833,(D),1198,1060,1176,1196,1235,1200
 "23000","Maine",1,CAEMP25N,300,"22","   Utilities","Number of jobs",2357,2301,2091,2008,2035,1978,2110,2115,2021,1979,1738,1752,1746,1694,1836,1971,1838,1794
 "23000","Maine",1,CAEMP25N,400,"23","   Construction","Number of jobs",55263,54464,57894,60223,62258,63427,63291,60140,54696,51301,50798,51248,51264,51575,51778,53731,54545,56448
 "23000","Maine",1,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",78734,72282,68285,67509,65180,64189,64193,63296,57501,55116,55597,55737,55911,55384,55864,56301,56410,57660
 "23000","Maine",1,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",22710,22188,23037,23898,24028,24001,23882,23247,21995,21377,21643,21833,22013,23468,24017,22392,22035,21723
 "23000","Maine",1,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",105453,105731,105651,107393,107078,105264,105883,104035,100758,99047,99380,98735,99086,99686,99394,99779,99756,99670
 "23000","Maine",1,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",19853,19678,19260,19473,19560,21744,22642,21838,20639,20079,20248,20228,20592,20954,21440,21933,24516,25208
 "23000","Maine",1,CAEMP25N,900,"51","   Information","Number of jobs",13743,12990,12998,12899,13323,13330,12765,12235,11270,11208,10492,10053,9888,9837,9826,10070,9822,10009
 "23000","Maine",1,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",33054,33199,33052,32750,32197,31819,32518,32997,33936,33227,34833,34070,34251,32042,32356,32945,33040,33480
 "23000","Maine",1,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",20753,21597,22756,25053,26976,28073,28998,28875,28642,29545,30503,30058,30621,31690,32225,33396,34545,35786
 "23000","Maine",1,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",38708,38638,38807,40534,40376,41120,42609,43149,41989,41841,41432,41686,42979,43706,44560,44708,45676,47428
 "23000","Maine",1,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",6189,6520,6067,5912,5771,6423,6638,7359,7241,7335,7470,7949,7764,9570,9655,10801,11128,11847
 "23000","Maine",1,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",32453,33303,34030,33359,33421,35074,37382,38476,38070,38325,39244,39061,40562,42040,42022,42588,43096,43935
 "23000","Maine",1,CAEMP25N,1500,"61","   Educational services","Number of jobs",14148,14701,15347,15521,15883,16571,17068,17455,17733,18557,18322,18730,19411,20044,20511,21017,21933,22113
