GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",28127,27529,27569,28146,28618,29179,29625,30118,29982,30169,30462,30901,31272,31674,31652,31686,31350,31491
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",22015,21616,21683,22012,22413,22720,22947,23215,22897,23117,23201,23592,23707,23867,23888,23876,23618,23574
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",6112,5913,5886,6134,6205,6459,6678,6903,7085,7052,7261,7309,7565,7807,7764,7810,7732,7917
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",1549,1420,1359,1318,1294,1254,1228,1238,1254,1264,1274,1259,1272,1245,1220,1198,1185,1168
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",4563,4493,4527,4816,4911,5205,5450,5665,5831,5788,5987,6050,6293,6562,6544,6612,6547,6749
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",1814,1664,1551,1584,1595,1530,1549,1568,1534,1568,1618,1682,1659,1638,1523,1483,1521,1514
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",26313,25865,26018,26562,27023,27649,28076,28550,28448,28601,28844,29219,29613,30036,30129,30203,29829,29977
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",22716,22303,22392,22873,23317,23996,24396,24800,24655,24782,24986,25386,25812,26295,26413,26427,25998,26131
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",17,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,300,"22","   Utilities","Number of jobs",112,109,108,112,115,119,115,126,125,131,127,129,(D),129,(D),(D),134,(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,400,"23","   Construction","Number of jobs",1404 E,1380 E,1526,1588,1609,1699,1735,1776,1731,1671,1656,1701,1738,1715,1710,1689,1581,1624
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",2180 E,1929 E,1975,2038,2148,2284,2407,2550,2475,2582,2751,2969,2871,2940,2998,3376,3491,3540
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",1295,1278,1240,1244,1172,1210,1210,1240,1262,1273,1264,1328,1384,1451,1500,1379,1300,1278
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",3791,3675,3638,3707,3753,3788,3817,3714,3773,3756,3756,3760,3821,3931,3979,3946,3867,3721
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",651,615,609,592,623,690,725,709,723,729,765,805,(D),791,(D),(D),872,(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,900,"51","   Information","Number of jobs",407,396,388,407,384,400,414,446,424,410,383,374,363,367,345,340,329,313
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",1261 E,1302 E,1291 E,1303 E,1343 E,1399 E,1489 E,1584 E,1650 E,1690,1748,1740,1803,1741,1668,1706,1682,1680
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",617 E,571 E,621 E,680 E,675 E,761 E,832 E,927 E,942 E,1088,1201,1261,1448,1548,1554,1583,1603,1662
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",768,702 E,718 E,738 E,725 E,735 E,747 E,807,762 E,865,824,798,810,785 E,791 E,781 E,781 E,798 E
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",121,126,123,97,156,140,192,222,251,272,271,285,307,309,332,377,283,325
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",1787,1584 E,1548 E,1636 E,1704 E,1748 E,1862 E,1696,1537 E,1520,1490,1289,1252,1211 E,1183 E,1077 E,1027 E,968 E
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,1500,"61","   Educational services","Number of jobs",(D),(D),(D),(D),801,821,663,660,573 E,574 E,585 E,571 E,613 E,645 E,663 E,673 E,641 E,660 E
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",(D),(D),(D),(D),3537,3535,3537,3579,3525 E,3485 E,3368 E,3378 E,3522 E,3459 E,3425 E,3383 E,3356 E,3347 E
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",401 E,430 E,406 E,444 E,444 E,474 E,466 E,471 E,445 E,452 E,465 E,496 E,488 E,501 E,476 E,506 E,506 E,556 E
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",1970 E,1958 E,1982 E,1992 E,2033 E,2008 E,1994 E,2057 E,2062 E,2170 E,2194 E,2279 E,2306 E,2323 E,2359 E,2282 E,2225 E,2272 E
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",1416,1458,1466,1462,1534,1577,1539,1551,1513,1473,1470,1490,1494,1540,1590,1572,1558,1580
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",3597,3562,3626,3689,3706,3653,3680,3750,3793,3819,3858,3833,3801,3741,3716,3776,3831,3846
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",560,598,602,597,606,588,569,565,553,566,559,540,522,493,488,512,492,477
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,2002,"...","   Military","Number of jobs",269,270,268,264,247,246,248,250,253,260,258,249,247,240,242,237,234,232
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,2010,"...","   State and local","Number of jobs",2768,2694,2756,2828,2853,2819,2863,2935,2987,2993,3041,3044,3032,3008,2986,3027,3105,3137
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,2011,"...","    State government","Number of jobs",995,950,990,1013,1029,1004,1000,1040,1092,1107,1118,1122,1118,1106,1077,1063,1106,1097
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAEMP25N,2012,"...","    Local government","Number of jobs",1773,1744,1766,1815,1824,1815,1863,1895,1895,1886,1923,1922,1914,1902,1909,1964,1999,2040
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",30853,31470,31693,32808,33582,33839,34104,33613,31465,30588,30402,29866,29530,29655,29569,29962,30805,31465
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",24758,25451,25829,26582,27193,27285,27070,26889,24788,24322,24076,23744,23387,23465,23545,23922,24478,24974
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",6095,6019,5864,6226,6389,6554,7034,6724,6677,6266,6326,6122,6143,6190,6024,6040,6327,6491
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",515,501,496,490,496,491,577,563,546,532,518,496,495,491,478,476,469,468
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",5580,5518,5368,5736,5893,6063,6457,6161,6131,5734,5808,5626,5648,5699,5546,5564,5858,6023
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",597,591,609,589,709,706,754,765,729,706,686,703,685,668,660,679,717,792
