GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "33000","New Hampshire",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",788168,788484,797648,812823,825600,835582,848001,844862,820809,813707,818789,824361,835032,844499,860597,873180,883500,894943
 "33000","New Hampshire",1,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",640657,635883,637305,643788,648879,655750,658831,656967,633060,629907,633733,640426,647086,655526,666387,676292,682081,687910
 "33000","New Hampshire",1,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",147511,152601,160343,169035,176721,179832,189170,187895,187749,183800,185056,183935,187946,188973,194210,196888,201419,207033
 "33000","New Hampshire",1,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",3264,3481,3404,3328,3327,3265,3983,3979,3997,4048,4041,4071,4124,4033,4006,3951,3851,3849
 "33000","New Hampshire",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",144247,149120,156939,165707,173394,176567,185187,183916,183752,179752,181015,179864,183822,184940,190204,192937,197568,203184
 "33000","New Hampshire",1,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",4882,5045,4992,4630,4577,4396,5066,5159,5137,5173,5270,5521,5782,5697,5664,5499,5195,5162
 "33000","New Hampshire",1,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",783286,783439,792656,808193,821023,831186,842935,839703,815672,808534,813519,818840,829250,838802,854933,867681,878305,889781
 "33000","New Hampshire",1,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",695243,692225,699318,716337,729122,737593,748254,744061,719441,710810,718207,723916,734560,743707,760121,773336,784152,795449
 "33000","New Hampshire",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",3445,3591,3113,3238,3347,3172,3226,3305,3091,2943,2952,3298,3298,3289,3189,3199,2991,3028
 "33000","New Hampshire",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",882,779,905,922,950,1023,1268,1311,1176,1369,1221,1697,1582,1556,1618,1737,1533,1504
 "33000","New Hampshire",1,CAEMP25N,300,"22","   Utilities","Number of jobs",2885,2809,2697,2656,2639,2632,2670,2651,2677,2659,2583,2574,2617,2469,2385,2546,2322,2256
 "33000","New Hampshire",1,CAEMP25N,400,"23","   Construction","Number of jobs",52596,53694,56926,59423,61893,62016,59955,56866,51883,48861,48688,48849,49435,49724,50540,52879,53394,54706
 "33000","New Hampshire",1,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",101279,88690,83834,83681,83835,82294,82210,80222,72737,69976,71204,70685,71139,71436,72401,73559,74301,76136
 "33000","New Hampshire",1,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",29341,29474,29439,30296,30717,31313,31589,31217,29540,28874,29372,29617,29718,31540,32285,30785,30941,30639
 "33000","New Hampshire",1,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",111706,113429,114186,115212,116130,117089,117093,114766,110782,109135,109891,110612,111322,111015,112046,112855,113341,112470
 "33000","New Hampshire",1,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",16907,16688,16887,16751,17178,17049,17278,16728,16098,15644,15905,16233,16376,16493,17768,18908,21486,23141
 "33000","New Hampshire",1,CAEMP25N,900,"51","   Information","Number of jobs",15581,14597,14254,14752,15316,15111,15095,15381,14940,13821,13771,14572,14545,14778,14846,15232,15435,15412
 "33000","New Hampshire",1,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",34156,35158,35661,36226,37112,37480,39205,40613,41480,40539,42227,42585,43056,42121,43286,45257,42434,42283
 "33000","New Hampshire",1,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",25752,26521,28607,31275,33772,34097,34751,34475,33885,34620,35684,34898,35825,36675,37297,38716,40219,41464
 "33000","New Hampshire",1,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",47002,46396,46891,49603,51024,52583,55590,56400,54516,54270,54381,54701,56568,57155,59518,59622,63706,64549
 "33000","New Hampshire",1,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",7368,6864,6589,7468,7829,7869,8121,8683,8420,8521,8621,8736,8728,8827,9279,9881,9692,9978
 "33000","New Hampshire",1,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",34107,34156,35644,36886,36981,38900,40932,40792,39042,40467,40873,41909,43196,45576,46728,47191,47804,48647
 "33000","New Hampshire",1,CAEMP25N,1500,"61","   Educational services","Number of jobs",23520,25166,26032,25954,26408,26359,26438,26754,27027,26865,26538,26851,27916,28657,30101,30731,31312,31632
