GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "49000","Utah",7,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",1391757,1395322,1405788,1453405,1517566,1592736,1676394,1688150,1633982,1620799,1664426,1706060,1753371,1803953,1866146,1933657,1997317,2060938
 "49000","Utah",7,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",1130770,1125887,1126689,1158072,1200077,1258019,1306880,1307417,1241969,1235051,1262617,1303995,1342353,1381259,1428669,1480682,1526195,1576106
 "49000","Utah",7,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",260987,269435,279099,295333,317489,334717,369514,380733,392013,385748,401809,402065,411018,422694,437477,452975,471122,484832
 "49000","Utah",7,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",15667,15357,14449,14000,13709,13221,14372,14528,14873,15262,15709,15724,16104,16114,16301,16359,16471,16196
 "49000","Utah",7,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",245320,254078,264650,281333,303780,321496,355142,366205,377140,370486,386100,386341,394914,406580,421176,436616,454651,468636
 "49000","Utah",7,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",20556,19413,19455,18786,18645,18284,18864,19241,19421,20007,20186,20219,20896,20615,20674,20978,22159,21165
 "49000","Utah",7,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",1371201,1375909,1386333,1434619,1498921,1574452,1657530,1668909,1614561,1600792,1644240,1685841,1732475,1783338,1845472,1912679,1975158,2039773
 "49000","Utah",7,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",1164138,1163199,1171878,1217196,1278724,1351706,1432118,1440391,1383036,1366353,1404824,1444489,1491446,1540825,1601002,1662178,1719668,1780960
 "49000","Utah",7,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",2575,2939,2722,2882,2903,2947,3217,3302,3290,3313,3475,3447,3589,3841,3674,3858,3943,4196
 "49000","Utah",7,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",8872,8310,8475,8767,10198,12126,13953,15939,13931,14668,15442,18891,18036,17698,16004,14397,13798,14460
 "49000","Utah",7,CAEMP25N,300,"22","   Utilities","Number of jobs",4329,4128,4077,4197,4191,4292,4351,4442,4326,4275,4178,4192,4125,4125,4285,4942,5020,4988
 "49000","Utah",7,CAEMP25N,400,"23","   Construction","Number of jobs",95085,90992,92105,98705,110875,126214,135753,120458,98701,90998,89919,94268,98941,104277,110271,119028,125541,133414
 "49000","Utah",7,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",127024,118810,119226,122383,124726,129164,134758,132698,120722,118121,121300,124531,127520,129555,132959,135966,139215,143461
 "49000","Utah",7,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",45987,45047,44852,46565,49567,51357,53356,54062,51203,49833,52451,53957,54485,58285,60241,56395,57386,56739
 "49000","Utah",7,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",159561,161148,162242,165443,170275,177019,185251,185606,178209,172249,174717,179606,184823,190310,198482,205027,211286,216210
 "49000","Utah",7,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",48226,46956,45813,47323,50485,52916,55181,55180,52142,50900,53193,55213,55872,57501,62146,66185,76421,83459
 "49000","Utah",7,CAEMP25N,900,"51","   Information","Number of jobs",36949,33757,33689,34957,37292,37768,35686,35959,34705,34345,34867,36627,38086,39299,39794,42300,44273,44328
 "49000","Utah",7,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",81001,82362,83448,83924,86764,90057,102825,111944,119670,111543,118815,117108,119350,116475,122179,127102,127684,131661
 "49000","Utah",7,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",55484,57373,61044,67021,76484,84077,93557,93858,91172,93568,96413,95364,99082,103782,106459,109391,113295,117678
 "49000","Utah",7,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",79536,79780,82240,85921,90626,97498,105443,109157,106552,107017,110281,115249,122864,129509,137609,142075,149704,159186
 "49000","Utah",7,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",22309,22694,19096,19308,20070,20846,21835,24758,23508,22682,22890,23552,23736,25181,26327,31540,28475,29408
 "49000","Utah",7,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",78496,76928,77332,83233,87310,93382,98271,93472,85861,89810,93299,96300,100517,103374,106150,111411,113351,116220
 "49000","Utah",7,CAEMP25N,1500,"61","   Educational services","Number of jobs",31041,33436,33260,35345,38117,40578,42708,44848,46699,48952,49939,51364,53533,55878,58434,61230,66382,67926
 "49000","Utah",7,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",100214,103558,107857,111709,115403,120279,126167,131482,134268,137138,139912,142921,148378,150527,157202,163537,168353,172715
 "49000","Utah",7,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",27728,28941,27828,28730,30100,31600,33646,33963,34083,34480,35460,37363,37807,39754,40505,43533,46254,47952
 "49000","Utah",7,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",87244,89356,89690,91786,93286,96928,100630,103301,99697,99679,102790,106123,110968,115640,120320,123706,128047,133541
 "49000","Utah",7,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",72477,76684,76882,78997,80052,82658,85530,85962,84297,82782,85483,88413,89734,95814,97961,100555,101240,103418
 "49000","Utah",7,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",207063,212710,214455,217423,220197,222746,225412,228518,231525,234439,239416,241352,241029,242513,244470,250501,255490,258813
 "49000","Utah",7,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",32982,35766,35730,34827,35299,35900,35574,35383,36388,38035,36664,35448,34608,34318,35033,36131,36108,36138
 "49000","Utah",7,CAEMP25N,2002,"...","   Military","Number of jobs",16761,17334,17918,17500,17608,17326,16768,16540,16959,16886,16896,16570,16432,16074,16099,16314,16195,16329
