Month Paid to City,2011,2012,2013,2014,2015,Previous,Year,
February,7,584,498,8,129,772,9,705,977,9,716,339,9,706,324,(0.10%),
March,8,214,130,9,048,100,9,665,221,9,547,747,10,336,828,8.26%,
April,10,322,104,10,658,023,11,052,923,11,725,868,12,342,059,5.25%,
May,9,581,055,9,878,312,10,210,765,10,472,202,11,621,048,10.97%,
June,9,490,761,10,265,022,10,894,780,12,056,689,12,064,442,0.06%,
July,11,144,133,11,601,389,12,333,440,13,760,241,14,097,861,2.45%,
August,10,289,011,10,726,772,11,122,002,11,996,628,13,166,898,9.75%,
September,10,095,404,11,076,614,11,340,506,12,783,365,12,487,802,(2.31%),
October,10,564,005,11,565,523,11,937,140,12,888,589,13,853,333,7.49%,
November,9,474,692,10,423,638,11,059,375,11,604,597,12,563,927,8.27%,
December,8,970,556,10,082,204,10,763,691,11,047,401,11,597,062,4.98%
