GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",658614,657069,662229,671124,679382,684285,692448,696827,684280,675249,679305,685754,691708,698185,706931,713868,722868,729925
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",559064,555910,557846,562243,565443,567538,568356,572443,558408,551387,552505,559640,563117,568075,575787,582702,587327,590537
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",99550,101159,104383,108881,113939,116747,124092,124384,125872,123862,126800,126114,128591,130110,131144,131166,135541,139388
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",4881,4759,4526,4298,4211,4046,4149,4185,4168,4155,4159,4097,4163,4074,4087,4027,3995,3993
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",94669,96400,99857,104583,109728,112701,119943,120199,121704,119707,122641,122017,124428,126036,127057,127139,131546,135395
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",7160,6994,6856,6259,6139,5838,5914,6155,6117,6123,6354,6325,6709,6629,6633,6402,6493,6432
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",651454,650075,655373,664865,673243,678447,686534,690672,678163,669126,672951,679429,684999,691556,700298,707466,716375,723493
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",520269,517571,523701,534112,542175,548261,555250,557762,545892,539183,548105,556265,562102,568643,577620,584614,593602,600607
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1589,1646,1559,1609,1593,1669
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1352,1426,1492,1548,(D),1666
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,300,"22","   Utilities","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1955 E,2077,2162,2258,2277,2138,2144
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,400,"23","   Construction","Number of jobs",(D),(D),33432,34515,35576,36574,37214,37078,34931,33601,33471,34082,34413,35019,35636,35981,36063,36385
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",45897,42494,40297,40683,37266 E,39892,39175 E,38879,34222 E,34312 E,35850 E,37311 E,39072,39164,40395,41427,41730,42156
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17451 E,17532 E,18749,19824,20336,19133,18774,18585
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",76422,76232,77049,78604,79562,80023,79172,77575,75241,73691,74071,75074,75221,75972,75999,76237,75872,75309
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17728 E,18060 E,19244,19437,19819,18608 E,24194,26039
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,900,"51","   Information","Number of jobs",16697,15020,15128,14888,15102,14671,13802,13326,13014,12525,12419,12183,11962,12007,11872,12024,11723,11934
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",31084,30796,31063,31330,31702,32822,33892,35223,37237,36280,38017,38045,38205,37027,37593,38502,37766,38395
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",16483,17031,18281,19901,21510,22256,23219 E,23843,22959,23232,23978,23481,24144,25315,26017,26787,28091,29051
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",42037,40979 E,41861 E,43005 E,43847 E,44618 E,47216 E,49523 E,48182 E,46914 E,47770 E,48143 E,48281 E,48800 E,49447 E,49168 E,50283,50529
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",8046 E,7232 E,5916 E,6687 E,7079 E,7893 E,8224 E,8361 E,7945 E,7790 E,8027 E,8054 E,8386,8220,8365,9093,8752 E,8557 E
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",27044 E,26812 E,27998 E,28909 E,29326 E,29811 E,29442 E,28950,26514 E,26205 E,25745 E,26549 E,27004 E,27275 E,27662 E,28661 E,29743 E,30113 E
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1500,"61","   Educational services","Number of jobs",17873 E,18827 E,19566 E,20866 E,21214 E,22578,22659,22962 E,23400,23782,24154,24658,25567,26430,26528,26620,26682 E,26877
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",79050 E,76314 E,77603 E,82394 E,82753 E,83741,86004,82944 E,88246,89263,89822,91306,91142,91254,92685,94560,93930 E,97708
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",11886,12482,12235,12887,13057,13101,13469,14119,14357,14777,14927,15179,15165 E,16085,16155,16215,16224,16101
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1800,"72","   Accommodation and food services","Number of jobs",37625,38971,39184,39654,39868,40537,41075,41201,40466,41156,42234,43325,44592,45354,46612,47749,49994,50704
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1900,"81","   Other services (except government and government enterprises)","Number of jobs",32046,33303,33935,34479,34339,34513,35078,35034,34566,33094,34001,34473,34674,35300,36263,35880,35819,36387
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2000,"...","  Government and government enterprises","Number of jobs",131185,132504,131672,130753,131068,130186,131284,132910,132271,129943,124846,123164,122897,122913,122678,122852,122773,122886
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2001,"...","   Federal civilian","Number of jobs",8352,8586,8513,7829,7781,7687,7711,7691,7800,8108,7544,7333,7160,7075,7075,7163,7227,7338
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2002,"...","   Military","Number of jobs",4204,4105,3902,3620,3631,3610,3403,3729,3630,3586,3566,3816,3817,3717,3770,3782,3711,3785
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2010,"...","   State and local","Number of jobs",118629,119813,119257,119304,119656,118889,120170,121490,120841,118249,113736,112015,111920,112121,111833,111907,111835,111763
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2011,"...","    State government","Number of jobs",57404,57337,56592,55824,55969,55353,56083,56744,55996,54391,51718,51375,52722,53694,53438,53426,53142,52928
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2012,"...","    Local government","Number of jobs",61225,62476,62665,63480,63687,63536,64087,64746,64845,63858,62018,60640,59198,58427,58395,58481,58693,58835
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",582103,585684,595561,610035,622277,642059,654539,652865,630676,619941,618262,616880,619844,624133,631910,640022,646269,654061
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",480813,483920,489076,498452,506112,521512,525310,523854,500870,493014,489329,488278,490573,493195,500287,507744,510563,515070
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",101290,101764,106485,111583,116165,120547,129229,129011,129806,126927,128933,128602,129271,130938,131623,132278,135706,138991
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",5445,4406,4821,4619,4545,4387,5151,5351,5637,6101,6838,7250,7318,7323,7316,7301,7288,7197
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",95845,97358,101664,106964,111620,116160,124078,123660,124169,120826,122095,121352,121953,123615,124307,124977,128418,131794
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",6295,5230,5702,5515,5523,5344,6104,6242,6628,7089,7892,8414,8606,8460,8568,8701,8548,8446
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",575808,580454,589859,604520,616754,636715,648435,646623,624048,612852,610370,608466,611238,615673,623342,631321,637721,645615
