GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09000","Connecticut",1,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",2125253,2117734,2112290,2144331,2171980,2202108,2245720,2256043,2196161,2171933,2206269,2223221,2246561,2266029,2288017,2300054,2304746,2327354
 "09000","Connecticut",1,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",1753339,1737593,1715891,1722818,1732049,1748700,1763183,1764648,1692091,1671424,1685883,1704885,1717324,1730465,1740192,1743844,1745013,1750652
 "09000","Connecticut",1,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",371914,380141,396399,421513,439931,453408,482537,491395,504070,500509,520386,518336,529237,535564,547825,556210,559733,576702
 "09000","Connecticut",1,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",4074,4020,3847,3758,3728,3646,4214,4397,4567,4778,5069,5191,5299,5126,5123,5023,4952,4951
 "09000","Connecticut",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",367840,376121,392552,417755,436203,449762,478323,486998,499503,495731,515317,513145,523938,530438,542702,551187,554781,571751
 "09000","Connecticut",1,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",10233,10230,10130,8898,8645,8079,8447,9009,9022,9174,9875,9966,10755,10604,10580,10116,9621,9511
 "09000","Connecticut",1,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",2115020,2107504,2102160,2135433,2163335,2194029,2237273,2247034,2187139,2162759,2196394,2213255,2235806,2255425,2277437,2289938,2295125,2317843
 "09000","Connecticut",1,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",1850276,1839946,1837774,1870167,1895723,1926050,1968913,1974509,1917977,1897279,1935385,1951542,1974122,1994327,2017182,2031937,2040080,2065252
 "09000","Connecticut",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",2425,2660,2374,2526,2480,2538,2628,2651,2556,2408,2379,2418,2441,2545,2319,2437,2306,2371
 "09000","Connecticut",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",2019,1794,2083,1905,1905,2185,2774,2916,2833,3108,2654,3681,3581,3305,3691,3545,2818,2722
 "09000","Connecticut",1,CAEMP25N,300,"22","   Utilities","Number of jobs",9448,9134,8940,8782,8763,6875,6921,7110,6954,6781,6546,6338,6575,6459,6282,6668,5889,5717
 "09000","Connecticut",1,CAEMP25N,400,"23","   Construction","Number of jobs",110907,107641,110203,118481,123219,126425,128279,122727,109811,101837,103276,104567,107937,110306,111679,115702,113337,115467
 "09000","Connecticut",1,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",233275,218460,207121,204883,202466,201115,199419,194828,179932,173330,174427,173572,172919,168460,168087,165964,168474,170445
 "09000","Connecticut",1,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",74007,72111,70937,72217,74109,75360,75507,76626,72344,69894,71075,70528,70343,73920,73642,69604,69415,68667
 "09000","Connecticut",1,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",229659,230351,227071,229052,231684,231091,231408,226409,216831,214033,217008,218210,220554,222340,222579,221757,221181,218725
 "09000","Connecticut",1,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",49749,48341,49675,50619,52147,52674,53416,52812,49931,48969,50944,52221,53317,54597,59684,63717,73284,81108
 "09000","Connecticut",1,CAEMP25N,900,"51","   Information","Number of jobs",50734,46241,45446,45186,45070,44317,44769,44127,40638,38279,38454,38135,39149,39305,39098,39523,38824,39458
 "09000","Connecticut",1,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",160831,162204,162772,162523,165105,168015,177694,188368,198574,192641,203221,199521,198283,188307,191172,195631,192089,191822
 "09000","Connecticut",1,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",80518,81879,85636,92063,99090,102470,107556,107835,105960,109926,113178,110809,111735,115450,118049,118382,119773,123339
 "09000","Connecticut",1,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",151537,149889,148355,152240,151051,154595,160457,160553,153639,153103,154260,155101,156632,161847,164139,163855,163427,164474
 "09000","Connecticut",1,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",29716,28998,28181,26477,26390,27812,28230,31192,30358,30428,31155,33085,33127,34543,35966,37722,36114,37754
