GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10000","Delaware",2,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",502735,500640,504099,518103,528674,537109,544949,544911,525634,522400,530400,534261,544797,556517,568879,578596,586045,595526
 "10000","Delaware",2,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",435790,431374,431320,440381,445858,450363,451163,450700,428633,426000,429319,433059,441311,450718,459147,464103,466924,472353
 "10000","Delaware",2,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",66945,69266,72779,77722,82816,86746,93786,94211,97001,96400,101081,101202,103486,105799,109732,114493,119121,123173
 "10000","Delaware",2,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",2396,2184,2011,1944,1915,1854,2011,1977,1935,1988,1957,1942,1965,1926,1942,1898,1858,1857
 "10000","Delaware",2,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",64549,67082,70768,75778,80901,84892,91775,92234,95066,94412,99124,99260,101521,103873,107790,112595,117263,121316
 "10000","Delaware",2,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",4041,3809,3379,3254,3164,3138,3212,3046,2972,3133,3101,3755,3637,3723,3682,3998,3692,3408
 "10000","Delaware",2,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",498694,496831,500720,514849,525510,533971,541737,541865,522662,519267,527299,530506,541160,552794,565197,574598,582353,592118
 "10000","Delaware",2,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",431810,429349,433060,447409,457207,464402,471247,470181,451040,446330,454505,456717,467015,478620,491915,500825,508523,518343
 "10000","Delaware",2,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",(D),935,794,834,841,826,863,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10000","Delaware",2,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",(D),222,240,216,(D),185,225,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10000","Delaware",2,CAEMP25N,300,"22","   Utilities","Number of jobs",2276,2248,2245,2249,2241,2247,2210,2299,2204,2174,2017,2076,2153,2209,2250,2309,2283,2210
 "10000","Delaware",2,CAEMP25N,400,"23","   Construction","Number of jobs",32291,32270,33224,36224,(D),40378,38004,34724,29416,28294,27917,27301,28601,29440,29945,30645,31475,32383
 "10000","Delaware",2,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",40171,37820,36406,35560,34065,34187,34388,32764,29073,27178,26854,26997,26717,27066,28538,27285,27493,28714
 "10000","Delaware",2,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",14333,14502,15079,15830,16051,16322,16011,15710,14432,13612,13800,13785,13614,14075,13969,13238,12280,12147
 "10000","Delaware",2,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",58325,59077,60240,60955,62466,62867,63747,61810,58754,58383,59455,59331,60197,61148,61994,62720,63056,62791
 "10000","Delaware",2,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",12268,12184,12256,13359,13169,13783,14150,13701,12730,12354,12717,13117,14537,15736,18086,19445,21244,22712
 "10000","Delaware",2,CAEMP25N,900,"51","   Information","Number of jobs",8854,7889,7753,7382,7698,7756,7979,8138,7567,7142,7014,6832,6707,6491,6170,6186,6297,5899
 "10000","Delaware",2,CAEMP25N,1000,"52","   Finance and insurance","Number of jobs",48805,48817,46902,46418,48546,47314,48601,50329,51973,50274,52679,52902,54571,54793,57270,59172,60132,60177
 "10000","Delaware",2,CAEMP25N,1100,"53","   Real estate and rental and leasing","Number of jobs",16883,17177,18234,20120,22158,23531,25260,25251,24785,25166,26247,25661,26033,26770,27515,28319,29223,29988
 "10000","Delaware",2,CAEMP25N,1200,"54","   Professional, scientific, and technical services","Number of jobs",34870,33080,34012,35930,34138,34045,35486,36043,34229,33988,35973,37467,38905,39477,39438,36640,37509,38866
 "10000","Delaware",2,CAEMP25N,1300,"55","   Management of companies and enterprises","Number of jobs",12515,12725,12064,13174,13163,12792,12062,11839,11030,10517,9137,8676,7205,6831,6373,10995,10143,9726
 "10000","Delaware",2,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",29814,26858,26649,27785,28329,29497,30568,29625,27711,27753,28250,28153,30175,31890,32745,33443,34736,36044
 "10000","Delaware",2,CAEMP25N,1500,"61","   Educational services","Number of jobs",7263,7786,7888,8054,8632,9195,9129,9181,9198,9207,9019,9056,9484,9880,9793,9756,9866,9896
 "10000","Delaware",2,CAEMP25N,1600,"62","   Health care and social assistance","Number of jobs",46749,47907,49663,51122,52895,54519,56937,60988,61978,62873,64334,65710,67715,69816,72812,74494,75611,77376
