GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",89511,90338,91132,91998,92937,94097,96484,99264,97269,96809,98193,99843,101199,102318,102565,102543,102840,105026
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,20,"..."," Wage and salary employment","Number of jobs",68801,70073,70271,70907,71189,71811,73115,75040,72930,72058,72653,73486,74318,75285,75004,74300,75196,76882
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,40,"..."," Proprietors employment","Number of jobs",20710,20265,20861,21091,21748,22286,23369,24224,24339,24751,25540,26357,26881,27033,27561,28243,27644,28144
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",3160,2948,2875,2832,2867,2833,3053,3006,2965,2939,2906,2840,2860,2867,2841,2852,2842,2821
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",17550,17317,17986,18259,18881,19453,20316,21218,21374,21812,22634,23517,24021,24166,24720,25391,24802,25323
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,70,"111-112"," Farm employment","Number of jobs",3598,3319,3199,3104,3138,3042,3259,3228,3235,3197,3170,3128,3173,3177,3164,3187,3158,3150
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,80,"..."," Nonfarm employment","Number of jobs",85913,87019,87933,88894,89799,91055,93225,96036,94034,93612,95023,96715,98026,99141,99401,99356,99682,101876
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,90,"...","  Private nonfarm employment","Number of jobs",67859,68632,69712,70604,71783,72915,75113,77873,75723,74975,76849,78968,80676,82060,82530,82194,82177,84381
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",(D),(D),(D),(D),450,411,404,486,(D),(D),(D),(D),(D),(D),(D),(D),524,(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",3007,2662,3059,2765,3018,3481,3831,4903,4180,(D),4620,6089,6521,6210,6052,5859,4812,4859
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,300,"22","   Utilities","Number of jobs",470 E,450 E,429,422,414,436,505,(D),472 E,413 E,371,372,383,396,423,447,(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,400,"23","   Construction","Number of jobs",4643,4937,5005,4908,5280,5366,5800,6483,5842,5322,5700,5758,6037,6440,6297,6135,5933,6402
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,500,"31-33","   Manufacturing","Number of jobs",3593,3479,3163,3385,3478,3611,3598,3606,3278,3109,2987,3024,3168,3241,3368,3374,3376,3607
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,600,"42","   Wholesale trade","Number of jobs",2880,2904,2833,2872,2570,2666,2707,2827,2693,2583,2708,2992,3190,3494,3088,2771,(D),(D)
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,700,"44-45","   Retail trade","Number of jobs",10302,10322,10276,10360,10726,10980,10988,10863,10334,10265,10317,10355,10503,10642,10998,10890,10926,10928
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",2164 E,2125 E,2029,2040,2009,1987,2057,1908 E,1840 E,1904 E,1989,2080,2139,2266,2438,2385,2712,2903
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAEMP25N,900,"51","   Information","Number of jobs",1389 E,1329 E,1398 E,1393 E,1399 E,1404 E,1454 E,(D),1378 E,(D),1285 E,1324 E,1418,1473,1410,1217,(D),(D)
