Series ID,Year,Period,Label,Value
LAUMT081782000000004,2000,M01,2000 Jan,9345
LAUMT081782000000004,2000,M02,2000 Feb,8926
LAUMT081782000000004,2000,M03,2000 Mar,8996
LAUMT081782000000004,2000,M04,2000 Apr,7567
LAUMT081782000000004,2000,M05,2000 May,7381
LAUMT081782000000004,2000,M06,2000 Jun,9009
LAUMT081782000000004,2000,M07,2000 Jul,8700
LAUMT081782000000004,2000,M08,2000 Aug,8259
LAUMT081782000000004,2000,M09,2000 Sep,7519
LAUMT081782000000004,2000,M10,2000 Oct,6971
LAUMT081782000000004,2000,M11,2000 Nov,7567
LAUMT081782000000004,2000,M12,2000 Dec,7214
LAUMT081782000000004,2001,M01,2001 Jan,9340
LAUMT081782000000004,2001,M02,2001 Feb,9324
LAUMT081782000000004,2001,M03,2001 Mar,9770
LAUMT081782000000004,2001,M04,2001 Apr,9074
LAUMT081782000000004,2001,M05,2001 May,9207
LAUMT081782000000004,2001,M06,2001 Jun,11620
LAUMT081782000000004,2001,M07,2001 Jul,11956
LAUMT081782000000004,2001,M08,2001 Aug,12759
LAUMT081782000000004,2001,M09,2001 Sep,12981
LAUMT081782000000004,2001,M10,2001 Oct,13554
LAUMT081782000000004,2001,M11,2001 Nov,15393
LAUMT081782000000004,2001,M12,2001 Dec,15968
LAUMT081782000000004,2002,M01,2002 Jan,18385
LAUMT081782000000004,2002,M02,2002 Feb,17648
LAUMT081782000000004,2002,M03,2002 Mar,17970
LAUMT081782000000004,2002,M04,2002 Apr,16711
LAUMT081782000000004,2002,M05,2002 May,15792
LAUMT081782000000004,2002,M06,2002 Jun,18053
LAUMT081782000000004,2002,M07,2002 Jul,17511
LAUMT081782000000004,2002,M08,2002 Aug,17005
LAUMT081782000000004,2002,M09,2002 Sep,16531
LAUMT081782000000004,2002,M10,2002 Oct,16396
LAUMT081782000000004,2002,M11,2002 Nov,17022
LAUMT081782000000004,2002,M12,2002 Dec,17206
LAUMT081782000000004,2003,M01,2003 Jan,19006
LAUMT081782000000004,2003,M02,2003 Feb,18565
LAUMT081782000000004,2003,M03,2003 Mar,18674
LAUMT081782000000004,2003,M04,2003 Apr,17511
LAUMT081782000000004,2003,M05,2003 May,16908
LAUMT081782000000004,2003,M06,2003 Jun,19278
LAUMT081782000000004,2003,M07,2003 Jul,18533
LAUMT081782000000004,2003,M08,2003 Aug,17500
LAUMT081782000000004,2003,M09,2003 Sep,16934
LAUMT081782000000004,2003,M10,2003 Oct,16752
LAUMT081782000000004,2003,M11,2003 Nov,17228
LAUMT081782000000004,2003,M12,2003 Dec,16926
LAUMT081782000000004,2004,M01,2004 Jan,18594
LAUMT081782000000004,2004,M02,2004 Feb,17952
LAUMT081782000000004,2004,M03,2004 Mar,17916
LAUMT081782000000004,2004,M04,2004 Apr,16245
LAUMT081782000000004,2004,M05,2004 May,15873
LAUMT081782000000004,2004,M06,2004 Jun,17778
LAUMT081782000000004,2004,M07,2004 Jul,17116
LAUMT081782000000004,2004,M08,2004 Aug,16361
LAUMT081782000000004,2004,M09,2004 Sep,15798
LAUMT081782000000004,2004,M10,2004 Oct,15763
LAUMT081782000000004,2004,M11,2004 Nov,16330
LAUMT081782000000004,2004,M12,2004 Dec,15964
LAUMT081782000000004,2005,M01,2005 Jan,17217
LAUMT081782000000004,2005,M02,2005 Feb,17568
LAUMT081782000000004,2005,M03,2005 Mar,17360
